id,serial,player_name,club,position,assists,corner_taken,offsides,dribbles,match_played
65,64,Berghuis,Ajax,Forward,1,15,2,3,8
66,64,Gravenberch,Ajax,Midfielder,1,15,1,18,8
67,64,Lang,Club Brugge,Forward,1,12,5,17,6
68,64,Aebischer,Young Boys,Midfielder,1,11,0,6,6
69,64,Tsygankov,Dynamo Kyiv,Midfielder,1,10,0,8,6
70,64,Oxlade-Chamberlain,Liverpool,Midfielder,1,9,0,6,6
71,64,S. Thill,Sheriff,Midfielder,1,9,0,1,6
72,64,Di María,Paris,Forward,1,8,1,3,5
73,64,Koopmeiners,Atalanta,Midfielder,1,8,0,1,5
74,64,Neymar,Paris,Forward,1,7,1,27,6
75,64,Lemar,Atlético,Midfielder,1,7,0,7,8
76,64,Rakitić,Sevilla,Midfielder,1,7,0,0,5
77,64,De Ketelaere,Club Brugge,Forward,1,6,10,6,6
78,64,Malcom,Zenit,Forward,1,6,2,12,6
79,64,Vormer,Club Brugge,Midfielder,1,6,1,0,4
80,64,Rieder,Young Boys,Midfielder,1,6,0,2,6
81,64,Reus,Dortmund,Midfielder,1,5,7,5,6
82,64,Alan Patrick,Shakhtar Donetsk,Midfielder,1,4,0,5,4
83,64,Koke,Atlético,Midfielder,1,4,0,2,9
84,64,Milner,Liverpool,Midfielder,1,4,0,1,8
85,64,Grealish,Man. City,Midfielder,1,3,6,18,7
86,64,T. Hernández,Milan,Defender,1,3,4,10,5
87,64,Benzema,Real Madrid,Forward,1,2,9,18,12
88,64,Iličić,Atalanta,Midfielder,1,2,2,13,4
89,64,Dybala,Juventus,Forward,1,2,0,8,5
90,64,Vanaken,Club Brugge,Midfielder,1,2,0,7,6
91,64,Bruno Tabata,Sporting CP,Midfielder,1,2,0,2,4
92,64,João Félix,Atlético,Forward,1,1,3,21,8
93,64,Taremi,Porto,Forward,1,1,2,4,6
94,64,Ocampos,Sevilla,Midfielder,1,1,1,16,6
95,64,Moumi Ngamaleu,Young Boys,Midfielder,1,1,0,34,6
96,64,Zinchenko,Man. City,Defender,1,1,0,3,8
97,64,Aurier,Villarreal,Defender,1,1,0,0,5
98,64,Mané,Liverpool,Midfielder,1,0,9,17,13
99,64,Paulinho,Sporting CP,Forward,1,0,5,8,8
100,64,Diogo Jota,Liverpool,Forward,1,0,4,19,11
101,64,Jesus,Man. City,Forward,1,0,4,7,8
102,64,Rafa Silva,Benfica,Forward,1,0,3,27,9
103,64,Rafael Leão,Milan,Forward,1,0,3,16,4
104,64,Valverde,Real Madrid,Midfielder,1,0,3,10,11
105,64,Haller,Ajax,Forward,1,0,3,9,8
106,64,Greenwood,Man. United,Forward,1,0,3,6,4
107,64,Alexis Sánchez,Inter,Forward,1,0,3,2,6
108,64,Luis Díaz,Liverpool,Forward,1,0,2,42,13
109,64,Perišić,Inter,Midfielder,1,0,2,13,8
110,64,Kristensen,Salzburg,Defender,1,0,2,12,8
111,64,Džeko,Inter,Forward,1,0,2,4,7
112,64,Dzyuba,Zenit,Forward,1,0,2,1,6
113,64,Pavard,Bayern,Defender,1,0,2,0,10
114,64,Van Dijk,Liverpool,Defender,1,0,2,0,9
115,64,Musiala,Bayern,Midfielder,1,0,1,20,8
116,64,Traore,Sheriff,Midfielder,1,0,1,13,6
117,64,Pulišić,Chelsea,Midfielder,1,0,1,11,7
118,64,Mæhle,Atalanta,Defender,1,0,1,11,5
119,64,Carvajal,Real Madrid,Defender,1,0,1,9,11
120,64,Blind,Ajax,Defender,1,0,1,8,8
121,64,Meunier,Dortmund,Defender,1,0,1,7,6
122,64,Zeki Çelik,LOSC,Defender,1,0,1,5,7
123,64,Gomes,LOSC,Midfielder,1,0,1,3,4
124,64,Camavinga,Real Madrid,Midfielder,1,0,1,2,10
125,64,Bentancur,Juventus,Midfielder,1,0,1,2,5
126,64,Azmoun,Zenit,Forward,1,0,1,2,5
127,64,Palomino,Atalanta,Defender,1,0,1,0,5
128,64,Jordi Alba,Barcelona,Defender,1,0,1,0,5
129,64,Adeyemi,Salzburg,Forward,1,0,0,23,8
130,64,Birmančević,Malmö,Midfielder,1,0,0,19,6
131,64,Brahim Díaz,Milan,Midfielder,1,0,0,19,5
132,64,Loftus-Cheek,Chelsea,Forward,1,0,0,15,8
133,64,Zappacosta,Atalanta,Defender,1,0,0,12,6
134,64,Pedraza,Villarreal,Midfielder,1,0,0,9,10
135,64,Lucas Vázquez,Real Madrid,Midfielder,1,0,0,6,8
136,64,Freuler,Atalanta,Midfielder,1,0,0,6,6
137,64,Dumfries,Inter,Defender,1,0,0,5,7
138,64,Olmo,Leipzig,Forward,1,0,0,5,2
139,64,Gonçalo Ramos,Benfica,Forward,1,0,0,4,7
140,64,Kanté,Chelsea,Midfielder,1,0,0,4,6
141,64,Laimer,Leipzig,Midfielder,1,0,0,4,6
142,64,Moi Gómez,Villarreal,Midfielder,1,0,0,4,6
143,64,Sobol,Club Brugge,Defender,1,0,0,4,4
144,64,Karavaev,Zenit,Defender,1,0,0,4,4
145,64,De Sciglio,Juventus,Defender,1,0,0,4,4
146,64,Vertonghen,Benfica,Defender,1,0,0,3,10
147,64,Azpilicueta,Chelsea,Defender,1,0,0,3,9
148,64,Martínez,Ajax,Defender,1,0,0,3,8
149,64,Origi,Liverpool,Forward,1,0,0,3,7
150,64,Mukiele,Leipzig,Defender,1,0,0,3,6
151,64,Hefti,Young Boys,Defender,1,0,0,3,6
152,64,Grujić,Porto,Midfielder,1,0,0,3,6
153,64,Fábio Vieira,Porto,Midfielder,1,0,0,3,2
154,64,Gonçalo Inácio,Sporting CP,Defender,1,0,0,2,7
155,64,Pašalić,Atalanta,Midfielder,1,0,0,2,5
156,64,Lingard,Man. United,Midfielder,1,0,0,2,4
157,64,Poulsen,Leipzig,Forward,1,0,0,2,4
158,64,Schulz,Dortmund,Defender,1,0,0,2,4
159,64,Al. Miranchuk,Atalanta,Forward,1,0,0,2,2
160,64,Neuer,Bayern,Goalkeeper,1,0,0,1,9
161,64,Christensen,Chelsea,Defender,1,0,0,1,8
162,64,Rafa Mir,Sevilla,Forward,1,0,0,1,6
163,64,Kalulu,Milan,Defender,1,0,0,1,5
164,64,Danilo,Juventus,Defender,1,0,0,1,5
165,64,Tagliafico,Ajax,Defender,1,0,0,1,3
166,64,Novoa,Leipzig,Midfielder,1,0,0,1,1
167,64,Thiago Silva,Chelsea,Defender,1,0,0,0,9
168,64,Marquinhos,Paris,Defender,1,0,0,0,8
169,64,Klaassen,Ajax,Midfielder,1,0,0,0,7
170,64,Kessié,Milan,Midfielder,1,0,0,0,5
171,64,Gerhardt,Wolfsburg,Midfielder,1,0,0,0,5
172,64,Tolisso,Bayern,Midfielder,1,0,0,0,4
173,64,Schuurs,Ajax,Defender,1,0,0,0,3
174,64,Kryvtsov,Shakhtar Donetsk,Defender,1,0,0,0,3
175,64,Stanišić,Bayern,Defender,1,0,0,0,2
176,64,Bernardo,Salzburg,Defender,1,0,0,0,2
